success,timeout,failed_images,failed_audio,failed_video,typeoftrial,subject,trial_type,trial_index,time_elapsed,internal_node_id,run_id,condition,recorded_at,source_code_version,ip,user_agent,device,browser,browser_version,platform,platform_version,sona_id,rt,response,Experiment,stimulus,list_number,trialcondition,correct,question_order
TRUE,FALSE,[],[],[],preload,3825,preload,0,1511,0.0-0.0,20,3,2022-11-17 00:47:26,1e2a314d68345bcc521be5de8e44be57,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36",Macintosh,Chrome,107.0.0.0,OS X,10_15_7,12936,,,,,,,,
,,,,,instructions,3825,html-button-response,1,13671,0.0-1.0,20,3,2022-11-17 00:47:26,1e2a314d68345bcc521be5de8e44be57,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36",Macintosh,Chrome,107.0.0.0,OS X,10_15_7,12936,12158,0,,"<p style=""font-size:20px;""> Welcome to the experiment! </p>
                    <p style=""font-size:20px;""> In this experiment, you will be asked to make judgments about the content of different sentences.</p>
                    <p style=""font-size:20px;""> On each trial, you will read a sentence, and will be shown a picture immediately following the sentence. </p>
                    <p style=""font-size:20px;""> Your task is to decide whether the object displayed in the picture was mentioned in the sentence or not </p>
                    <p style=""font-size:20px;""> and respond as quickly as possible by pressing <strong>S</strong> for yes or <strong>N</strong> for no. </p>
                    <p style=""font-size:20px;""> You will now do a practice session with feedback and instructions. </p>
                    <p style=""font-size:20px;""> Click the button below to continue.</p>",,,,
,,,,,instructions,3825,html-button-response,2,16579,0.0-2.0,20,3,2022-11-17 00:47:26,1e2a314d68345bcc521be5de8e44be57,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36",Macintosh,Chrome,107.0.0.0,OS X,10_15_7,12936,2905,0,,"<p style=""font-size:20px;""> You are about to begin the practice test. </p>
                    <p style=""font-size:20px;""> On each trial, a sentence will appear on the screen. You should press SPACEBAR when you have read and understood the sentence.</p>
                    <p style=""font-size:20px;""> After you press SPACEBAR, a picture will appear on the screen. </p>
                    <p style=""font-size:20px;""> You need to indicate whether or not the pictured object was mentioned in the sentence. </p>
                    <p style=""font-size:20px;""> If the object WAS mentioned in the preceding sentence, you should press <strong>S</strong> </p>
                    <p style=""font-size:20px;""> If the object was NOT mentioned in the preceding sentence, you should press <strong>N</strong>. </p>
                    <p style=""font-size:20px;""> Click the button below to continue to the practice session.</p>",,,,
,,,,,fixation,3825,html-keyboard-response,3,17589,0.0-3.0-0.0,20,3,2022-11-17 00:47:26,1e2a314d68345bcc521be5de8e44be57,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36",Macintosh,Chrome,107.0.0.0,OS X,10_15_7,12936,null,null,,"<p style=""font-size: 48px;"">+</p>",practice,practice_n,,
,,,,,sentence,3825,html-keyboard-response,4,30813,0.0-3.0-1.0,20,3,2022-11-17 00:47:26,1e2a314d68345bcc521be5de8e44be57,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36",Macintosh,Chrome,107.0.0.0,OS X,10_15_7,12936,13221, ,,A bowling ball dropped and touched a bottle,practice,practice_n,,
,,,,,fixation,3825,html-keyboard-response,5,31321,0.0-3.0-2.0,20,3,2022-11-17 00:47:26,1e2a314d68345bcc521be5de8e44be57,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36",Macintosh,Chrome,107.0.0.0,OS X,10_15_7,12936,null,null,,"<p style=""font-size: 48px;"">+</p>",practice,practice_n,,
,,,,,picture,3825,image-keyboard-response,6,33306,0.0-3.0-3.0,20,3,2022-11-17 00:47:26,1e2a314d68345bcc521be5de8e44be57,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36",Macintosh,Chrome,107.0.0.0,OS X,10_15_7,12936,1981,n,,bookB.jpg,practice,practice_n,TRUE,
,,,,,,,html-keyboard-response,7,35313,0.0-3.0-4.0,20,3,2022-11-17 00:47:26,1e2a314d68345bcc521be5de8e44be57,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36",Macintosh,Chrome,107.0.0.0,OS X,10_15_7,12936,null,null,,CORRECT!,,,,
,,,,,fixation,3825,html-keyboard-response,8,36318,0.0-3.0-0.1,20,3,2022-11-17 00:47:26,1e2a314d68345bcc521be5de8e44be57,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36",Macintosh,Chrome,107.0.0.0,OS X,10_15_7,12936,null,null,,"<p style=""font-size: 48px;"">+</p>",practice,practice_n,,
,,,,,sentence,3825,html-keyboard-response,9,38437,0.0-3.0-1.1,20,3,2022-11-17 00:47:26,1e2a314d68345bcc521be5de8e44be57,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36",Macintosh,Chrome,107.0.0.0,OS X,10_15_7,12936,2117, ,,A balloon dropped and smashed a cup,practice,practice_n,,
,,,,,fixation,3825,html-keyboard-response,10,38945,0.0-3.0-2.1,20,3,2022-11-17 00:47:26,1e2a314d68345bcc521be5de8e44be57,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36",Macintosh,Chrome,107.0.0.0,OS X,10_15_7,12936,null,null,,"<p style=""font-size: 48px;"">+</p>",practice,practice_n,,
,,,,,picture,3825,image-keyboard-response,11,40012,0.0-3.0-3.1,20,3,2022-11-17 00:47:26,1e2a314d68345bcc521be5de8e44be57,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36",Macintosh,Chrome,107.0.0.0,OS X,10_15_7,12936,1064,n,,bananaB.jpg,practice,practice_n,TRUE,
